17:38:12 | LOCK_ACQUIRED | sim=0.62
17:38:12 | MOVE_RIGHT | nose_x=0.91
17:38:13 | MOVE_RIGHT | nose_x=0.65
17:38:14 | MOVE_RIGHT | nose_x=0.66
17:38:15 | MOVE_RIGHT | nose_x=0.80
17:38:16 | MOVE_RIGHT | nose_x=0.70
17:38:16 | BLINK | EAR=0.22
17:38:17 | MOVE_LEFT | nose_x=0.41
17:38:18 | MOVE_LEFT | nose_x=0.44
17:38:18 | MOVE_RIGHT | nose_x=0.69
17:38:19 | MOVE_RIGHT | nose_x=0.82
17:38:21 | MOVE_RIGHT | nose_x=0.73
17:38:22 | MOVE_RIGHT | nose_x=0.72
17:38:23 | MOVE_RIGHT | nose_x=0.73
17:38:24 | MOVE_RIGHT | nose_x=0.73
17:38:25 | MOVE_RIGHT | nose_x=0.68
17:38:26 | MOVE_RIGHT | nose_x=0.72
17:38:28 | MOVE_RIGHT | nose_x=0.76
17:38:30 | MOVE_RIGHT | nose_x=0.76
17:38:31 | MOVE_RIGHT | nose_x=0.67
17:38:33 | MOVE_RIGHT | nose_x=0.62
17:38:35 | MOVE_RIGHT | nose_x=0.64
17:38:36 | MOVE_RIGHT | nose_x=0.69
17:38:37 | MOVE_RIGHT | nose_x=0.70
17:38:39 | MOVE_RIGHT | nose_x=0.71
17:38:40 | MOVE_RIGHT | nose_x=0.67
17:38:43 | MOVE_RIGHT | nose_x=0.69
17:38:44 | MOVE_RIGHT | nose_x=0.70
17:38:45 | MOVE_RIGHT | nose_x=0.71
17:38:46 | MOVE_RIGHT | nose_x=0.72
17:38:48 | MOVE_RIGHT | nose_x=0.69
17:38:50 | MOVE_RIGHT | nose_x=0.71
17:38:52 | MOVE_RIGHT | nose_x=0.72
17:38:54 | MOVE_RIGHT | nose_x=0.74
17:38:57 | MOVE_RIGHT | nose_x=0.74
17:38:58 | MOVE_RIGHT | nose_x=0.68
17:38:59 | BLINK | EAR=0.22
17:38:59 | MOVE_RIGHT | nose_x=0.62
17:39:01 | MOVE_RIGHT | nose_x=0.66
17:39:02 | MOVE_RIGHT | nose_x=0.66
17:39:03 | MOVE_RIGHT | nose_x=0.68
17:39:05 | MOVE_RIGHT | nose_x=0.71
17:39:06 | MOVE_RIGHT | nose_x=0.70
17:39:07 | MOVE_RIGHT | nose_x=0.70
17:39:08 | MOVE_RIGHT | nose_x=0.67
17:39:10 | MOVE_RIGHT | nose_x=0.63
17:39:11 | MOVE_RIGHT | nose_x=0.63
17:39:12 | MOVE_RIGHT | nose_x=0.66
17:39:15 | MOVE_RIGHT | nose_x=0.68
17:39:16 | MOVE_RIGHT | nose_x=0.68
17:39:17 | MOVE_RIGHT | nose_x=0.80
17:39:17 | LOCK_LOST | Target disappeared
17:39:20 | LOCK_ACQUIRED | sim=0.61
17:39:20 | SMILE | ratio=0.51
17:39:21 | MOVE_RIGHT | nose_x=0.91
17:39:22 | SMILE | ratio=0.50
17:39:22 | MOVE_RIGHT | nose_x=0.89
17:39:23 | SMILE | ratio=0.46
17:39:23 | MOVE_RIGHT | nose_x=0.67
17:39:24 | SMILE | ratio=0.50
17:39:24 | MOVE_RIGHT | nose_x=0.89
17:39:25 | MOVE_RIGHT | nose_x=0.88
17:39:25 | LOCK_LOST | Target disappeared
17:39:40 | LOCK_ACQUIRED | sim=0.66
17:39:40 | MOVE_RIGHT | nose_x=0.95
17:39:41 | MOVE_RIGHT | nose_x=0.72
17:39:42 | SMILE | ratio=0.48
17:39:42 | MOVE_RIGHT | nose_x=0.98
17:39:42 | LOCK_LOST | Target disappeared
17:39:44 | LOCK_ACQUIRED | sim=0.69
17:39:44 | SMILE | ratio=0.46
17:39:44 | MOVE_RIGHT | nose_x=0.84
17:39:45 | MOVE_RIGHT | nose_x=0.64
17:39:45 | SMILE | ratio=0.45
17:39:45 | MOVE_RIGHT | nose_x=0.89
17:39:46 | LOCK_LOST | Target disappeared
17:39:48 | LOCK_ACQUIRED | sim=0.56
17:39:48 | MOVE_RIGHT | nose_x=0.90
17:39:49 | BLINK | EAR=0.18
17:39:49 | SMILE | ratio=0.45
17:39:49 | MOVE_RIGHT | nose_x=0.95
17:39:49 | SMILE | ratio=0.47
17:39:49 | MOVE_RIGHT | nose_x=1.00
17:39:50 | LOCK_LOST | Target disappeared
17:39:50 | LOCK_ACQUIRED | sim=0.68
17:39:50 | MOVE_RIGHT | nose_x=0.93
17:39:51 | MOVE_RIGHT | nose_x=0.79
17:39:52 | MOVE_RIGHT | nose_x=0.82
17:39:52 | SMILE | ratio=0.48
17:39:52 | MOVE_RIGHT | nose_x=0.80
17:39:53 | LOCK_LOST | Target disappeared
17:39:56 | LOCK_ACQUIRED | sim=0.48
17:39:56 | MOVE_RIGHT | nose_x=0.97
17:39:58 | SMILE | ratio=0.47
17:39:58 | MOVE_RIGHT | nose_x=0.62
17:40:00 | MOVE_RIGHT | nose_x=0.93
17:40:00 | LOCK_LOST | Target disappeared
17:40:03 | LOCK_ACQUIRED | sim=0.48
17:40:04 | MOVE_RIGHT | nose_x=0.95
17:40:05 | SMILE | ratio=0.47
17:40:07 | MOVE_LEFT | nose_x=0.41
17:40:10 | MOVE_LEFT | nose_x=0.49
17:40:11 | MOVE_LEFT | nose_x=0.49
17:40:12 | MOVE_LEFT | nose_x=0.48
17:40:14 | MOVE_LEFT | nose_x=0.48
17:40:15 | SMILE | ratio=0.49
17:40:15 | MOVE_LEFT | nose_x=0.47
17:40:17 | SMILE | ratio=0.46
17:40:17 | MOVE_LEFT | nose_x=0.42
17:40:18 | SMILE | ratio=0.54
17:40:18 | MOVE_LEFT | nose_x=0.20
17:40:19 | SMILE | ratio=0.48
17:40:19 | MOVE_LEFT | nose_x=0.25
17:40:22 | MOVE_LEFT | nose_x=0.20
17:40:23 | MOVE_LEFT | nose_x=0.36
17:40:24 | MOVE_LEFT | nose_x=0.49
17:40:25 | MOVE_LEFT | nose_x=0.33
17:40:26 | MOVE_LEFT | nose_x=0.21
17:40:28 | MOVE_LEFT | nose_x=0.15
17:40:29 | SMILE | ratio=0.47
17:40:29 | MOVE_LEFT | nose_x=0.20
17:40:30 | SMILE | ratio=0.50
17:40:30 | MOVE_LEFT | nose_x=0.27
17:40:31 | SMILE | ratio=0.47
17:40:31 | MOVE_LEFT | nose_x=0.30
17:40:32 | SMILE | ratio=0.50
17:40:32 | MOVE_LEFT | nose_x=0.29
17:40:33 | SMILE | ratio=0.48
17:40:33 | MOVE_LEFT | nose_x=0.16
17:40:35 | MOVE_LEFT | nose_x=0.19
17:40:37 | MOVE_LEFT | nose_x=0.21
17:40:38 | MOVE_LEFT | nose_x=0.17
17:40:40 | MOVE_LEFT | nose_x=0.10
17:40:42 | MOVE_LEFT | nose_x=0.12
17:40:44 | MOVE_LEFT | nose_x=0.14
17:40:45 | MOVE_LEFT | nose_x=0.12
17:40:46 | SMILE | ratio=0.45
17:40:46 | MOVE_LEFT | nose_x=0.15
17:40:47 | SMILE | ratio=0.48
17:40:47 | MOVE_LEFT | nose_x=0.12
17:40:48 | MOVE_LEFT | nose_x=0.15
17:40:49 | MOVE_LEFT | nose_x=0.28
17:40:51 | MOVE_LEFT | nose_x=0.31
17:40:53 | MOVE_LEFT | nose_x=0.30
17:40:54 | MOVE_LEFT | nose_x=0.25
17:40:56 | MOVE_LEFT | nose_x=0.20
17:40:58 | MOVE_LEFT | nose_x=0.23
17:40:59 | MOVE_LEFT | nose_x=0.21
17:41:00 | SMILE | ratio=0.46
17:41:00 | MOVE_LEFT | nose_x=0.33
17:41:03 | MOVE_LEFT | nose_x=0.21
17:41:04 | SMILE | ratio=0.47
17:41:04 | MOVE_LEFT | nose_x=0.14
17:41:06 | MOVE_LEFT | nose_x=0.25
17:41:07 | MOVE_LEFT | nose_x=0.24
17:41:09 | MOVE_LEFT | nose_x=0.27
17:41:11 | MOVE_LEFT | nose_x=0.23
17:41:12 | MOVE_LEFT | nose_x=0.30
17:41:13 | MOVE_LEFT | nose_x=0.34
17:41:15 | SMILE | ratio=0.50
17:41:15 | MOVE_LEFT | nose_x=0.32
17:41:18 | MOVE_LEFT | nose_x=0.19
17:41:21 | SMILE | ratio=0.48
17:41:21 | MOVE_RIGHT | nose_x=0.85
17:41:21 | LOCK_LOST | Target disappeared
