22:07:52 | LOCK_ACQUIRED | sim=0.83
22:07:58 | BLINK | EAR=0.18
22:08:02 | MOVE_LEFT | nose_x=0.47
22:08:03 | MOVE_LEFT | nose_x=0.45
22:08:03 | BLINK | EAR=0.13
22:08:04 | MOVE_RIGHT | nose_x=0.62
22:08:04 | BLINK | EAR=0.17
22:08:04 | MOVE_RIGHT | nose_x=0.75
22:08:05 | BLINK | EAR=0.15
22:08:05 | MOVE_RIGHT | nose_x=0.72
22:08:11 | BLINK | EAR=0.18
22:08:17 | MOVE_LEFT | nose_x=0.47
22:08:18 | MOVE_LEFT | nose_x=0.41
22:08:19 | MOVE_LEFT | nose_x=0.39
22:08:20 | MOVE_LEFT | nose_x=0.40
22:08:21 | MOVE_RIGHT | nose_x=0.61
22:08:22 | MOVE_RIGHT | nose_x=0.63
22:08:23 | MOVE_RIGHT | nose_x=0.63
22:08:24 | MOVE_RIGHT | nose_x=0.61
22:08:27 | BLINK | EAR=0.21
22:08:27 | MOVE_RIGHT | nose_x=0.64
22:08:31 | LOCK_LOST | Target disappeared
22:08:32 | LOCK_ACQUIRED | sim=0.46
22:08:32 | BLINK | EAR=0.19
22:08:32 | MOVE_LEFT | nose_x=0.46
22:08:33 | MOVE_LEFT | nose_x=0.41
22:08:34 | MOVE_LEFT | nose_x=0.49
22:08:35 | MOVE_LEFT | nose_x=0.48
22:08:35 | SMILE | ratio=0.51
22:08:35 | MOVE_LEFT | nose_x=0.47
22:08:36 | SMILE | ratio=0.54
22:08:36 | MOVE_LEFT | nose_x=0.47
22:08:36 | SMILE | ratio=0.54
22:08:36 | MOVE_LEFT | nose_x=0.47
22:08:36 | SMILE | ratio=0.52
22:08:36 | MOVE_LEFT | nose_x=0.47
22:08:36 | SMILE | ratio=0.55
22:08:36 | MOVE_LEFT | nose_x=0.48
22:08:36 | SMILE | ratio=0.55
22:08:36 | MOVE_LEFT | nose_x=0.48
22:08:37 | SMILE | ratio=0.54
22:08:37 | MOVE_LEFT | nose_x=0.49
22:08:37 | SMILE | ratio=0.52
22:08:37 | MOVE_LEFT | nose_x=0.49
22:08:37 | SMILE | ratio=0.53
22:08:37 | MOVE_LEFT | nose_x=0.49
22:08:37 | SMILE | ratio=0.52
22:08:37 | MOVE_LEFT | nose_x=0.48
22:08:38 | SMILE | ratio=0.52
22:08:38 | MOVE_LEFT | nose_x=0.48
22:08:38 | SMILE | ratio=0.52
22:08:38 | MOVE_LEFT | nose_x=0.48
22:08:38 | SMILE | ratio=0.53
22:08:38 | MOVE_LEFT | nose_x=0.48
22:08:38 | SMILE | ratio=0.51
22:08:38 | MOVE_LEFT | nose_x=0.48
22:08:38 | SMILE | ratio=0.51
22:08:38 | MOVE_LEFT | nose_x=0.48
22:08:39 | SMILE | ratio=0.51
22:08:39 | MOVE_LEFT | nose_x=0.48
22:08:39 | SMILE | ratio=0.51
22:08:39 | MOVE_LEFT | nose_x=0.48
22:08:40 | MOVE_LEFT | nose_x=0.49
22:08:41 | MOVE_LEFT | nose_x=0.47
22:08:41 | BLINK | EAR=0.13
22:08:41 | MOVE_LEFT | nose_x=0.48
22:08:43 | MOVE_LEFT | nose_x=0.50
22:08:44 | MOVE_LEFT | nose_x=0.49
22:08:45 | MOVE_LEFT | nose_x=0.49
