22:42:45 | LOCK_ACQUIRED | sim=0.79
22:42:45 | MOVE_LEFT | nose_x=0.35
22:42:46 | MOVE_LEFT | nose_x=0.36
22:42:47 | BLINK | EAR=0.15
22:42:47 | MOVE_LEFT | nose_x=0.33
22:42:48 | MOVE_LEFT | nose_x=0.35
22:42:49 | MOVE_LEFT | nose_x=0.35
22:42:50 | MOVE_LEFT | nose_x=0.32
22:42:51 | MOVE_LEFT | nose_x=0.38
22:42:52 | MOVE_LEFT | nose_x=0.38
22:42:53 | MOVE_LEFT | nose_x=0.37
22:42:54 | MOVE_LEFT | nose_x=0.38
22:42:55 | MOVE_LEFT | nose_x=0.38
22:42:56 | MOVE_LEFT | nose_x=0.36
22:42:57 | MOVE_LEFT | nose_x=0.33
22:42:59 | MOVE_LEFT | nose_x=0.33
22:43:00 | MOVE_LEFT | nose_x=0.34
22:43:01 | MOVE_LEFT | nose_x=0.34
22:43:01 | BLINK | EAR=0.19
22:43:01 | MOVE_LEFT | nose_x=0.32
22:43:02 | MOVE_LEFT | nose_x=0.30
22:43:03 | MOVE_LEFT | nose_x=0.34
22:43:05 | LOCK_LOST | Target disappeared
22:43:07 | LOCK_ACQUIRED | sim=0.51
22:43:07 | MOVE_RIGHT | nose_x=0.95
22:43:08 | MOVE_LEFT | nose_x=0.39
22:43:12 | LOCK_LOST | Target disappeared
22:43:12 | LOCK_ACQUIRED | sim=0.46
22:43:13 | MOVE_LEFT | nose_x=0.35
22:43:14 | MOVE_LEFT | nose_x=0.32
22:43:14 | LOCK_LOST | Target disappeared
22:43:15 | LOCK_ACQUIRED | sim=0.48
22:43:15 | MOVE_LEFT | nose_x=0.31
22:43:16 | MOVE_LEFT | nose_x=0.35
22:43:17 | MOVE_LEFT | nose_x=0.46
22:43:18 | MOVE_LEFT | nose_x=0.45
22:43:19 | MOVE_LEFT | nose_x=0.04
22:43:22 | MOVE_LEFT | nose_x=0.48
22:43:23 | MOVE_LEFT | nose_x=0.46
22:43:25 | MOVE_LEFT | nose_x=0.49
22:43:27 | MOVE_LEFT | nose_x=0.50
22:43:28 | MOVE_LEFT | nose_x=0.50
22:43:32 | MOVE_LEFT | nose_x=0.49
22:43:33 | MOVE_LEFT | nose_x=0.49
22:43:34 | MOVE_LEFT | nose_x=0.48
22:43:35 | MOVE_LEFT | nose_x=0.47
22:43:36 | MOVE_LEFT | nose_x=0.48
22:43:37 | MOVE_LEFT | nose_x=0.46
22:43:38 | MOVE_LEFT | nose_x=0.47
22:43:39 | MOVE_LEFT | nose_x=0.34
22:43:40 | MOVE_LEFT | nose_x=0.29
22:43:42 | MOVE_LEFT | nose_x=0.49
22:43:43 | MOVE_LEFT | nose_x=0.36
22:43:43 | LOCK_LOST | Target disappeared
22:43:44 | LOCK_ACQUIRED | sim=0.51
22:43:44 | MOVE_LEFT | nose_x=0.11
22:43:46 | MOVE_LEFT | nose_x=0.41
22:43:46 | LOCK_LOST | Target disappeared
22:43:48 | LOCK_ACQUIRED | sim=0.72
22:43:48 | MOVE_LEFT | nose_x=0.41
22:43:49 | MOVE_LEFT | nose_x=0.38
22:43:50 | MOVE_LEFT | nose_x=0.41
22:43:51 | MOVE_LEFT | nose_x=0.39
22:43:52 | MOVE_LEFT | nose_x=0.41
22:43:53 | MOVE_LEFT | nose_x=0.39
22:43:54 | MOVE_LEFT | nose_x=0.40
22:43:55 | BLINK | EAR=0.12
22:43:55 | MOVE_LEFT | nose_x=0.40
22:43:56 | MOVE_LEFT | nose_x=0.35
22:43:57 | MOVE_LEFT | nose_x=0.02
22:43:59 | MOVE_RIGHT | nose_x=0.65
22:44:00 | MOVE_RIGHT | nose_x=0.65
22:44:01 | MOVE_LEFT | nose_x=0.47
22:44:02 | MOVE_LEFT | nose_x=0.40
22:44:03 | MOVE_LEFT | nose_x=0.43
22:44:04 | MOVE_LEFT | nose_x=0.31
22:44:04 | SMILE | ratio=0.50
22:44:04 | MOVE_LEFT | nose_x=0.31
22:44:05 | SMILE | ratio=0.55
22:44:05 | MOVE_LEFT | nose_x=0.32
22:44:05 | SMILE | ratio=0.57
22:44:05 | MOVE_LEFT | nose_x=0.31
22:44:05 | SMILE | ratio=0.55
22:44:05 | MOVE_LEFT | nose_x=0.31
22:44:05 | SMILE | ratio=0.56
22:44:05 | MOVE_LEFT | nose_x=0.31
22:44:05 | SMILE | ratio=0.55
22:44:05 | MOVE_LEFT | nose_x=0.32
22:44:06 | SMILE | ratio=0.55
22:44:06 | MOVE_LEFT | nose_x=0.32
22:44:06 | SMILE | ratio=0.53
22:44:06 | MOVE_LEFT | nose_x=0.32
22:44:07 | MOVE_LEFT | nose_x=0.31
22:44:08 | SMILE | ratio=0.46
22:44:08 | MOVE_LEFT | nose_x=0.30
22:44:08 | SMILE | ratio=0.52
22:44:08 | MOVE_LEFT | nose_x=0.31
22:44:08 | SMILE | ratio=0.55
22:44:08 | MOVE_LEFT | nose_x=0.32
22:44:08 | SMILE | ratio=0.54
22:44:08 | MOVE_LEFT | nose_x=0.33
22:44:08 | SMILE | ratio=0.52
22:44:08 | MOVE_LEFT | nose_x=0.33
22:44:09 | MOVE_LEFT | nose_x=0.35
22:44:10 | MOVE_LEFT | nose_x=0.34
22:44:11 | MOVE_LEFT | nose_x=0.33
22:44:12 | MOVE_LEFT | nose_x=0.31
22:44:14 | MOVE_LEFT | nose_x=0.27
22:44:15 | MOVE_LEFT | nose_x=0.28
22:44:16 | MOVE_LEFT | nose_x=0.29
22:44:16 | BLINK | EAR=0.13
22:44:16 | MOVE_LEFT | nose_x=0.30
22:44:18 | MOVE_LEFT | nose_x=0.30
22:44:19 | MOVE_LEFT | nose_x=0.29
22:44:20 | MOVE_LEFT | nose_x=0.26
22:44:21 | MOVE_LEFT | nose_x=0.25
22:44:22 | MOVE_LEFT | nose_x=0.20
22:44:23 | MOVE_LEFT | nose_x=0.21
22:44:24 | MOVE_LEFT | nose_x=0.21
22:44:25 | MOVE_LEFT | nose_x=0.21
22:44:26 | MOVE_LEFT | nose_x=0.21
22:44:27 | MOVE_LEFT | nose_x=0.21
22:44:28 | MOVE_LEFT | nose_x=0.21
22:44:29 | MOVE_LEFT | nose_x=0.22
22:44:30 | MOVE_LEFT | nose_x=0.21
22:44:32 | MOVE_LEFT | nose_x=0.21
22:44:33 | MOVE_LEFT | nose_x=0.21
22:44:34 | MOVE_LEFT | nose_x=0.21
22:44:35 | MOVE_LEFT | nose_x=0.21
22:44:36 | MOVE_LEFT | nose_x=0.21
22:44:37 | MOVE_LEFT | nose_x=0.20
22:44:38 | MOVE_LEFT | nose_x=0.20
22:44:39 | MOVE_LEFT | nose_x=0.20
22:44:40 | MOVE_LEFT | nose_x=0.20
22:44:41 | BLINK | EAR=0.17
22:44:41 | MOVE_LEFT | nose_x=0.28
22:44:42 | MOVE_LEFT | nose_x=0.38
22:44:43 | MOVE_LEFT | nose_x=0.38
22:44:44 | MOVE_LEFT | nose_x=0.39
22:44:45 | MOVE_LEFT | nose_x=0.35
22:44:46 | MOVE_LEFT | nose_x=0.30
22:44:47 | MOVE_LEFT | nose_x=0.28
22:44:48 | MOVE_LEFT | nose_x=0.28
22:44:49 | MOVE_LEFT | nose_x=0.29
22:44:51 | MOVE_LEFT | nose_x=0.30
22:44:52 | MOVE_LEFT | nose_x=0.28
22:44:53 | MOVE_LEFT | nose_x=0.28
22:44:54 | MOVE_LEFT | nose_x=0.28
