16:39:03 | LOCK_ACQUIRED | sim=0.71
16:39:03 | MOVE_LEFT | nose_x=0.34
16:39:04 | MOVE_LEFT | nose_x=0.32
16:39:05 | MOVE_LEFT | nose_x=0.31
16:39:06 | MOVE_LEFT | nose_x=0.30
16:39:07 | MOVE_LEFT | nose_x=0.30
16:39:08 | MOVE_LEFT | nose_x=0.30
16:39:09 | MOVE_LEFT | nose_x=0.30
16:39:10 | MOVE_LEFT | nose_x=0.30
16:39:11 | MOVE_LEFT | nose_x=0.30
16:39:12 | MOVE_LEFT | nose_x=0.30
16:39:14 | MOVE_LEFT | nose_x=0.29
16:39:14 | BLINK | EAR=0.15
16:39:14 | MOVE_LEFT | nose_x=0.29
16:39:16 | MOVE_LEFT | nose_x=0.30
16:39:18 | MOVE_LEFT | nose_x=0.33
