18:22:08 | LOCK_ACQUIRED | sim=0.50
18:22:08 | MOVE_LEFT | nose_x=0.43
18:22:11 | MOVE_RIGHT | nose_x=0.60
18:22:12 | MOVE_RIGHT | nose_x=0.63
18:22:14 | LOCK_LOST | Target disappeared
18:22:14 | LOCK_ACQUIRED | sim=0.42
18:22:14 | MOVE_RIGHT | nose_x=0.67
18:22:15 | LOCK_LOST | Target disappeared
18:22:23 | LOCK_ACQUIRED | sim=0.51
18:22:23 | MOVE_LEFT | nose_x=0.48
18:22:24 | MOVE_RIGHT | nose_x=0.63
18:22:25 | MOVE_RIGHT | nose_x=0.70
18:22:26 | LOCK_LOST | Target disappeared
18:22:55 | LOCK_ACQUIRED | sim=0.54
18:22:55 | MOVE_RIGHT | nose_x=0.89
18:22:56 | MOVE_RIGHT | nose_x=0.83
18:22:57 | MOVE_RIGHT | nose_x=0.68
18:23:02 | MOVE_RIGHT | nose_x=0.60
18:23:03 | MOVE_RIGHT | nose_x=0.62
18:23:04 | BLINK | EAR=0.17
18:23:04 | MOVE_RIGHT | nose_x=0.63
18:23:04 | SMILE | ratio=0.48
18:23:04 | MOVE_RIGHT | nose_x=0.63
18:23:05 | SMILE | ratio=0.51
18:23:05 | MOVE_RIGHT | nose_x=0.63
18:23:05 | SMILE | ratio=0.50
18:23:05 | MOVE_RIGHT | nose_x=0.63
18:23:05 | SMILE | ratio=0.50
18:23:05 | MOVE_RIGHT | nose_x=0.63
18:23:05 | SMILE | ratio=0.49
18:23:05 | MOVE_RIGHT | nose_x=0.62
18:23:05 | SMILE | ratio=0.48
18:23:05 | MOVE_RIGHT | nose_x=0.62
18:23:05 | SMILE | ratio=0.45
18:23:05 | MOVE_RIGHT | nose_x=0.62
18:23:07 | MOVE_RIGHT | nose_x=0.63
18:23:07 | SMILE | ratio=0.47
18:23:07 | MOVE_RIGHT | nose_x=0.63
18:23:08 | SMILE | ratio=0.49
18:23:08 | MOVE_RIGHT | nose_x=0.63
18:23:08 | SMILE | ratio=0.50
18:23:08 | MOVE_RIGHT | nose_x=0.63
18:23:08 | SMILE | ratio=0.47
18:23:08 | MOVE_RIGHT | nose_x=0.63
18:23:08 | SMILE | ratio=0.48
18:23:08 | MOVE_RIGHT | nose_x=0.63
18:23:08 | SMILE | ratio=0.48
18:23:08 | MOVE_RIGHT | nose_x=0.63
18:23:08 | SMILE | ratio=0.46
18:23:08 | MOVE_RIGHT | nose_x=0.63
18:23:09 | SMILE | ratio=0.47
18:23:09 | MOVE_RIGHT | nose_x=0.64
18:23:10 | MOVE_RIGHT | nose_x=0.84
18:23:11 | MOVE_RIGHT | nose_x=0.83
18:23:12 | MOVE_LEFT | nose_x=0.48
18:23:13 | MOVE_LEFT | nose_x=0.28
18:23:14 | MOVE_LEFT | nose_x=0.09
18:23:15 | MOVE_LEFT | nose_x=0.48
18:23:17 | MOVE_RIGHT | nose_x=0.63
18:23:19 | MOVE_RIGHT | nose_x=0.98
18:23:19 | LOCK_LOST | Target disappeared
18:23:22 | LOCK_ACQUIRED | sim=0.44
18:23:22 | MOVE_RIGHT | nose_x=0.97
18:23:24 | MOVE_LEFT | nose_x=0.44
18:23:26 | MOVE_LEFT | nose_x=0.44
18:23:27 | MOVE_LEFT | nose_x=0.44
18:23:29 | MOVE_LEFT | nose_x=0.44
18:23:30 | MOVE_LEFT | nose_x=0.43
18:23:32 | MOVE_RIGHT | nose_x=0.63
18:23:37 | MOVE_LEFT | nose_x=0.50
18:23:39 | MOVE_LEFT | nose_x=0.50
18:23:40 | MOVE_LEFT | nose_x=0.43
18:23:41 | MOVE_LEFT | nose_x=0.45
18:23:43 | MOVE_RIGHT | nose_x=0.61
18:23:47 | MOVE_LEFT | nose_x=0.49
18:23:48 | MOVE_LEFT | nose_x=0.44
18:23:49 | MOVE_LEFT | nose_x=0.45
18:23:50 | MOVE_LEFT | nose_x=0.47
18:23:51 | MOVE_LEFT | nose_x=0.46
18:23:52 | MOVE_LEFT | nose_x=0.48
18:23:53 | MOVE_LEFT | nose_x=0.38
18:23:55 | MOVE_LEFT | nose_x=0.39
18:23:56 | MOVE_LEFT | nose_x=0.41
18:23:57 | MOVE_LEFT | nose_x=0.48
18:23:58 | MOVE_LEFT | nose_x=0.46
18:23:59 | BLINK | EAR=0.22
18:23:59 | MOVE_LEFT | nose_x=0.46
18:24:00 | MOVE_LEFT | nose_x=0.46
18:24:01 | MOVE_LEFT | nose_x=0.45
18:24:02 | MOVE_LEFT | nose_x=0.46
18:24:03 | MOVE_LEFT | nose_x=0.47
18:24:04 | MOVE_LEFT | nose_x=0.47
18:24:05 | MOVE_LEFT | nose_x=0.48
18:24:06 | MOVE_LEFT | nose_x=0.45
18:24:08 | MOVE_LEFT | nose_x=0.49
18:24:09 | MOVE_LEFT | nose_x=0.49
18:24:10 | MOVE_LEFT | nose_x=0.47
18:24:11 | MOVE_LEFT | nose_x=0.45
